step,method,q,seed,ablation,drift_effort
593920,TEL-PPO,35.0,1024,baseline,
598016,TEL-PPO,35.0,1024,baseline,
602112,TEL-PPO,35.0,1024,baseline,
606208,TEL-PPO,35.0,1024,baseline,0.8728742599487305
610304,TEL-PPO,35.0,1024,baseline,
614400,TEL-PPO,35.0,1024,baseline,
618496,TEL-PPO,35.0,1024,baseline,
622592,TEL-PPO,35.0,1024,baseline,
626688,TEL-PPO,35.0,1024,baseline,
630784,TEL-PPO,35.0,1024,baseline,
634880,TEL-PPO,35.0,1024,baseline,
638976,TEL-PPO,35.0,1024,baseline,
643072,TEL-PPO,35.0,1024,baseline,
647168,TEL-PPO,35.0,1024,baseline,1.1477470397949219
651264,TEL-PPO,35.0,1024,baseline,
655360,TEL-PPO,35.0,1024,baseline,
659456,TEL-PPO,35.0,1024,baseline,
663552,TEL-PPO,35.0,1024,baseline,
667648,TEL-PPO,35.0,1024,baseline,
671744,TEL-PPO,35.0,1024,baseline,
675840,TEL-PPO,35.0,1024,baseline,
679936,TEL-PPO,35.0,1024,baseline,
684032,TEL-PPO,35.0,1024,baseline,
688128,TEL-PPO,35.0,1024,baseline,0.719672441482544
692224,TEL-PPO,35.0,1024,baseline,
696320,TEL-PPO,35.0,1024,baseline,
700416,TEL-PPO,35.0,1024,baseline,
704512,TEL-PPO,35.0,1024,baseline,
708608,TEL-PPO,35.0,1024,baseline,
712704,TEL-PPO,35.0,1024,baseline,
716800,TEL-PPO,35.0,1024,baseline,
720896,TEL-PPO,35.0,1024,baseline,
724992,TEL-PPO,35.0,1024,baseline,
729088,TEL-PPO,35.0,1024,baseline,0.0826418399810791
733184,TEL-PPO,35.0,1024,baseline,
737280,TEL-PPO,35.0,1024,baseline,
741376,TEL-PPO,35.0,1024,baseline,
745472,TEL-PPO,35.0,1024,baseline,
749568,TEL-PPO,35.0,1024,baseline,
753664,TEL-PPO,35.0,1024,baseline,
757760,TEL-PPO,35.0,1024,baseline,
761856,TEL-PPO,35.0,1024,baseline,
765952,TEL-PPO,35.0,1024,baseline,
770048,TEL-PPO,35.0,1024,baseline,0.26419758796691895
774144,TEL-PPO,35.0,1024,baseline,
778240,TEL-PPO,35.0,1024,baseline,
782336,TEL-PPO,35.0,1024,baseline,
786432,TEL-PPO,35.0,1024,baseline,
790528,TEL-PPO,35.0,1024,baseline,
794624,TEL-PPO,35.0,1024,baseline,
798720,TEL-PPO,35.0,1024,baseline,
802816,TEL-PPO,35.0,1024,baseline,
806912,TEL-PPO,35.0,1024,baseline,
811008,TEL-PPO,35.0,1024,baseline,1.2781143188476562
815104,TEL-PPO,35.0,1024,baseline,
819200,TEL-PPO,35.0,1024,baseline,
823296,TEL-PPO,35.0,1024,baseline,
827392,TEL-PPO,35.0,1024,baseline,
831488,TEL-PPO,35.0,1024,baseline,
835584,TEL-PPO,35.0,1024,baseline,
839680,TEL-PPO,35.0,1024,baseline,
843776,TEL-PPO,35.0,1024,baseline,
847872,TEL-PPO,35.0,1024,baseline,
851968,TEL-PPO,35.0,1024,baseline,0.002866983413696289
856064,TEL-PPO,35.0,1024,baseline,
860160,TEL-PPO,35.0,1024,baseline,
864256,TEL-PPO,35.0,1024,baseline,
868352,TEL-PPO,35.0,1024,baseline,
872448,TEL-PPO,35.0,1024,baseline,
876544,TEL-PPO,35.0,1024,baseline,
880640,TEL-PPO,35.0,1024,baseline,
884736,TEL-PPO,35.0,1024,baseline,
888832,TEL-PPO,35.0,1024,baseline,
892928,TEL-PPO,35.0,1024,baseline,0.6978988647460938
897024,TEL-PPO,35.0,1024,baseline,
901120,TEL-PPO,35.0,1024,baseline,
905216,TEL-PPO,35.0,1024,baseline,
909312,TEL-PPO,35.0,1024,baseline,
913408,TEL-PPO,35.0,1024,baseline,
917504,TEL-PPO,35.0,1024,baseline,
921600,TEL-PPO,35.0,1024,baseline,
925696,TEL-PPO,35.0,1024,baseline,
929792,TEL-PPO,35.0,1024,baseline,
933888,TEL-PPO,35.0,1024,baseline,0.15073418617248535
937984,TEL-PPO,35.0,1024,baseline,
942080,TEL-PPO,35.0,1024,baseline,
946176,TEL-PPO,35.0,1024,baseline,
950272,TEL-PPO,35.0,1024,baseline,
954368,TEL-PPO,35.0,1024,baseline,
958464,TEL-PPO,35.0,1024,baseline,
962560,TEL-PPO,35.0,1024,baseline,
966656,TEL-PPO,35.0,1024,baseline,
970752,TEL-PPO,35.0,1024,baseline,
974848,TEL-PPO,35.0,1024,baseline,0.24551749229431152
978944,TEL-PPO,35.0,1024,baseline,
983040,TEL-PPO,35.0,1024,baseline,
987136,TEL-PPO,35.0,1024,baseline,
991232,TEL-PPO,35.0,1024,baseline,
995328,TEL-PPO,35.0,1024,baseline,
999424,TEL-PPO,35.0,1024,baseline,
1003520,TEL-PPO,35.0,1024,baseline,
1007616,TEL-PPO,35.0,1024,baseline,
1011712,TEL-PPO,35.0,1024,baseline,
1015808,TEL-PPO,35.0,1024,baseline,0.08485913276672363
1019904,TEL-PPO,35.0,1024,baseline,
1024000,TEL-PPO,35.0,1024,baseline,
1028096,TEL-PPO,35.0,1024,baseline,
1032192,TEL-PPO,35.0,1024,baseline,
1036288,TEL-PPO,35.0,1024,baseline,
1040384,TEL-PPO,35.0,1024,baseline,
1044480,TEL-PPO,35.0,1024,baseline,
1048576,TEL-PPO,35.0,1024,baseline,
1052672,TEL-PPO,35.0,1024,baseline,
1056768,TEL-PPO,35.0,1024,baseline,0.19768476486206055
1060864,TEL-PPO,35.0,1024,baseline,
1064960,TEL-PPO,35.0,1024,baseline,
1069056,TEL-PPO,35.0,1024,baseline,
1073152,TEL-PPO,35.0,1024,baseline,
1077248,TEL-PPO,35.0,1024,baseline,
1081344,TEL-PPO,35.0,1024,baseline,
1085440,TEL-PPO,35.0,1024,baseline,
1089536,TEL-PPO,35.0,1024,baseline,
1093632,TEL-PPO,35.0,1024,baseline,
1097728,TEL-PPO,35.0,1024,baseline,0.4613816738128662
1101824,TEL-PPO,35.0,1024,baseline,
1105920,TEL-PPO,35.0,1024,baseline,
1110016,TEL-PPO,35.0,1024,baseline,
1114112,TEL-PPO,35.0,1024,baseline,
1118208,TEL-PPO,35.0,1024,baseline,
1122304,TEL-PPO,35.0,1024,baseline,
1126400,TEL-PPO,35.0,1024,baseline,
1130496,TEL-PPO,35.0,1024,baseline,
1134592,TEL-PPO,35.0,1024,baseline,
1138688,TEL-PPO,35.0,1024,baseline,0.5445539951324463
1142784,TEL-PPO,35.0,1024,baseline,
1146880,TEL-PPO,35.0,1024,baseline,
1150976,TEL-PPO,35.0,1024,baseline,
1155072,TEL-PPO,35.0,1024,baseline,
1159168,TEL-PPO,35.0,1024,baseline,
1163264,TEL-PPO,35.0,1024,baseline,
1167360,TEL-PPO,35.0,1024,baseline,
1171456,TEL-PPO,35.0,1024,baseline,
1175552,TEL-PPO,35.0,1024,baseline,
1179648,TEL-PPO,35.0,1024,baseline,0.08906722068786621
1183744,TEL-PPO,35.0,1024,baseline,
1187840,TEL-PPO,35.0,1024,baseline,
1191936,TEL-PPO,35.0,1024,baseline,
1196032,TEL-PPO,35.0,1024,baseline,
1200128,TEL-PPO,35.0,1024,baseline,
1204224,TEL-PPO,35.0,1024,baseline,
1208320,TEL-PPO,35.0,1024,baseline,
1212416,TEL-PPO,35.0,1024,baseline,
1216512,TEL-PPO,35.0,1024,baseline,
1220608,TEL-PPO,35.0,1024,baseline,0.09019970893859863
1224704,TEL-PPO,35.0,1024,baseline,
1228800,TEL-PPO,35.0,1024,baseline,
1232896,TEL-PPO,35.0,1024,baseline,
1236992,TEL-PPO,35.0,1024,baseline,
1241088,TEL-PPO,35.0,1024,baseline,
1245184,TEL-PPO,35.0,1024,baseline,
1249280,TEL-PPO,35.0,1024,baseline,
1253376,TEL-PPO,35.0,1024,baseline,
1257472,TEL-PPO,35.0,1024,baseline,
1261568,TEL-PPO,35.0,1024,baseline,0.7732868194580078
1265664,TEL-PPO,35.0,1024,baseline,
1269760,TEL-PPO,35.0,1024,baseline,
1273856,TEL-PPO,35.0,1024,baseline,
1277952,TEL-PPO,35.0,1024,baseline,
1282048,TEL-PPO,35.0,1024,baseline,
1286144,TEL-PPO,35.0,1024,baseline,
1290240,TEL-PPO,35.0,1024,baseline,
1294336,TEL-PPO,35.0,1024,baseline,
1298432,TEL-PPO,35.0,1024,baseline,
1302528,TEL-PPO,35.0,1024,baseline,1.1796236038208008
1306624,TEL-PPO,35.0,1024,baseline,
1310720,TEL-PPO,35.0,1024,baseline,
1314816,TEL-PPO,35.0,1024,baseline,
1318912,TEL-PPO,35.0,1024,baseline,
1323008,TEL-PPO,35.0,1024,baseline,
1327104,TEL-PPO,35.0,1024,baseline,
1331200,TEL-PPO,35.0,1024,baseline,
1335296,TEL-PPO,35.0,1024,baseline,
1339392,TEL-PPO,35.0,1024,baseline,
1343488,TEL-PPO,35.0,1024,baseline,0.9741783142089844
1347584,TEL-PPO,35.0,1024,baseline,
1351680,TEL-PPO,35.0,1024,baseline,
1355776,TEL-PPO,35.0,1024,baseline,
1359872,TEL-PPO,35.0,1024,baseline,
1363968,TEL-PPO,35.0,1024,baseline,
1368064,TEL-PPO,35.0,1024,baseline,
1372160,TEL-PPO,35.0,1024,baseline,
1376256,TEL-PPO,35.0,1024,baseline,
1380352,TEL-PPO,35.0,1024,baseline,
1384448,TEL-PPO,35.0,1024,baseline,0.26267170906066895
1388544,TEL-PPO,35.0,1024,baseline,
1392640,TEL-PPO,35.0,1024,baseline,
1396736,TEL-PPO,35.0,1024,baseline,
1400832,TEL-PPO,35.0,1024,baseline,
1404928,TEL-PPO,35.0,1024,baseline,
1409024,TEL-PPO,35.0,1024,baseline,
1413120,TEL-PPO,35.0,1024,baseline,
1417216,TEL-PPO,35.0,1024,baseline,
1421312,TEL-PPO,35.0,1024,baseline,
1425408,TEL-PPO,35.0,1024,baseline,0.7406353950500488
1429504,TEL-PPO,35.0,1024,baseline,
1433600,TEL-PPO,35.0,1024,baseline,
1437696,TEL-PPO,35.0,1024,baseline,
1441792,TEL-PPO,35.0,1024,baseline,
1445888,TEL-PPO,35.0,1024,baseline,
1449984,TEL-PPO,35.0,1024,baseline,
1454080,TEL-PPO,35.0,1024,baseline,
1458176,TEL-PPO,35.0,1024,baseline,
1462272,TEL-PPO,35.0,1024,baseline,
1466368,TEL-PPO,35.0,1024,baseline,0.5623281002044678
1470464,TEL-PPO,35.0,1024,baseline,
1474560,TEL-PPO,35.0,1024,baseline,
1478656,TEL-PPO,35.0,1024,baseline,
1482752,TEL-PPO,35.0,1024,baseline,
1486848,TEL-PPO,35.0,1024,baseline,
1490944,TEL-PPO,35.0,1024,baseline,
1495040,TEL-PPO,35.0,1024,baseline,
1499136,TEL-PPO,35.0,1024,baseline,
1503232,TEL-PPO,35.0,1024,baseline,
1507328,TEL-PPO,35.0,1024,baseline,0.21865367889404297
1511424,TEL-PPO,35.0,1024,baseline,
1515520,TEL-PPO,35.0,1024,baseline,
1519616,TEL-PPO,35.0,1024,baseline,
1523712,TEL-PPO,35.0,1024,baseline,
1527808,TEL-PPO,35.0,1024,baseline,
1531904,TEL-PPO,35.0,1024,baseline,
1536000,TEL-PPO,35.0,1024,baseline,
1540096,TEL-PPO,35.0,1024,baseline,
1544192,TEL-PPO,35.0,1024,baseline,
1548288,TEL-PPO,35.0,1024,baseline,0.5140244960784912
1552384,TEL-PPO,35.0,1024,baseline,
1556480,TEL-PPO,35.0,1024,baseline,
1560576,TEL-PPO,35.0,1024,baseline,
1564672,TEL-PPO,35.0,1024,baseline,
1568768,TEL-PPO,35.0,1024,baseline,
1572864,TEL-PPO,35.0,1024,baseline,
1576960,TEL-PPO,35.0,1024,baseline,
1581056,TEL-PPO,35.0,1024,baseline,
1585152,TEL-PPO,35.0,1024,baseline,
1589248,TEL-PPO,35.0,1024,baseline,0.5201756954193115
1593344,TEL-PPO,35.0,1024,baseline,
1597440,TEL-PPO,35.0,1024,baseline,
1601536,TEL-PPO,35.0,1024,baseline,
1605632,TEL-PPO,35.0,1024,baseline,
1609728,TEL-PPO,35.0,1024,baseline,
1613824,TEL-PPO,35.0,1024,baseline,
1617920,TEL-PPO,35.0,1024,baseline,
1622016,TEL-PPO,35.0,1024,baseline,
1626112,TEL-PPO,35.0,1024,baseline,
1630208,TEL-PPO,35.0,1024,baseline,0.06523728370666504
1634304,TEL-PPO,35.0,1024,baseline,
1638400,TEL-PPO,35.0,1024,baseline,
1642496,TEL-PPO,35.0,1024,baseline,
1646592,TEL-PPO,35.0,1024,baseline,
1650688,TEL-PPO,35.0,1024,baseline,
1654784,TEL-PPO,35.0,1024,baseline,
1658880,TEL-PPO,35.0,1024,baseline,
1662976,TEL-PPO,35.0,1024,baseline,
1667072,TEL-PPO,35.0,1024,baseline,
1671168,TEL-PPO,35.0,1024,baseline,0.954049825668335
0,TEL-PPO,35.0,123,baseline,
4096,TEL-PPO,35.0,123,baseline,
8192,TEL-PPO,35.0,123,baseline,
12288,TEL-PPO,35.0,123,baseline,
16384,TEL-PPO,35.0,123,baseline,
20480,TEL-PPO,35.0,123,baseline,
24576,TEL-PPO,35.0,123,baseline,
28672,TEL-PPO,35.0,123,baseline,
32768,TEL-PPO,35.0,123,baseline,
36864,TEL-PPO,35.0,123,baseline,
40960,TEL-PPO,35.0,123,baseline,
45056,TEL-PPO,35.0,123,baseline,
49152,TEL-PPO,35.0,123,baseline,
53248,TEL-PPO,35.0,123,baseline,
57344,TEL-PPO,35.0,123,baseline,
61440,TEL-PPO,35.0,123,baseline,
65536,TEL-PPO,35.0,123,baseline,
69632,TEL-PPO,35.0,123,baseline,
73728,TEL-PPO,35.0,123,baseline,
77824,TEL-PPO,35.0,123,baseline,
81920,TEL-PPO,35.0,123,baseline,
86016,TEL-PPO,35.0,123,baseline,
90112,TEL-PPO,35.0,123,baseline,
94208,TEL-PPO,35.0,123,baseline,
98304,TEL-PPO,35.0,123,baseline,
102400,TEL-PPO,35.0,123,baseline,
106496,TEL-PPO,35.0,123,baseline,
110592,TEL-PPO,35.0,123,baseline,
114688,TEL-PPO,35.0,123,baseline,10.460227727890015
118784,TEL-PPO,35.0,123,baseline,
122880,TEL-PPO,35.0,123,baseline,
126976,TEL-PPO,35.0,123,baseline,
131072,TEL-PPO,35.0,123,baseline,
135168,TEL-PPO,35.0,123,baseline,
139264,TEL-PPO,35.0,123,baseline,
143360,TEL-PPO,35.0,123,baseline,
147456,TEL-PPO,35.0,123,baseline,
151552,TEL-PPO,35.0,123,baseline,
155648,TEL-PPO,35.0,123,baseline,1.2554466724395752
159744,TEL-PPO,35.0,123,baseline,
163840,TEL-PPO,35.0,123,baseline,
167936,TEL-PPO,35.0,123,baseline,
172032,TEL-PPO,35.0,123,baseline,
176128,TEL-PPO,35.0,123,baseline,
180224,TEL-PPO,35.0,123,baseline,
184320,TEL-PPO,35.0,123,baseline,
188416,TEL-PPO,35.0,123,baseline,
192512,TEL-PPO,35.0,123,baseline,
196608,TEL-PPO,35.0,123,baseline,0.13676881790161133
200704,TEL-PPO,35.0,123,baseline,
204800,TEL-PPO,35.0,123,baseline,
208896,TEL-PPO,35.0,123,baseline,
212992,TEL-PPO,35.0,123,baseline,
217088,TEL-PPO,35.0,123,baseline,
221184,TEL-PPO,35.0,123,baseline,
225280,TEL-PPO,35.0,123,baseline,
229376,TEL-PPO,35.0,123,baseline,
233472,TEL-PPO,35.0,123,baseline,
237568,TEL-PPO,35.0,123,baseline,0.24219155311584473
241664,TEL-PPO,35.0,123,baseline,
245760,TEL-PPO,35.0,123,baseline,
249856,TEL-PPO,35.0,123,baseline,
253952,TEL-PPO,35.0,123,baseline,
258048,TEL-PPO,35.0,123,baseline,
262144,TEL-PPO,35.0,123,baseline,
266240,TEL-PPO,35.0,123,baseline,
270336,TEL-PPO,35.0,123,baseline,
274432,TEL-PPO,35.0,123,baseline,
278528,TEL-PPO,35.0,123,baseline,0.31879544258117676
282624,TEL-PPO,35.0,123,baseline,
286720,TEL-PPO,35.0,123,baseline,
290816,TEL-PPO,35.0,123,baseline,
294912,TEL-PPO,35.0,123,baseline,
299008,TEL-PPO,35.0,123,baseline,
303104,TEL-PPO,35.0,123,baseline,
307200,TEL-PPO,35.0,123,baseline,
311296,TEL-PPO,35.0,123,baseline,
315392,TEL-PPO,35.0,123,baseline,
319488,TEL-PPO,35.0,123,baseline,0.24366974830627441
323584,TEL-PPO,35.0,123,baseline,
327680,TEL-PPO,35.0,123,baseline,
331776,TEL-PPO,35.0,123,baseline,
335872,TEL-PPO,35.0,123,baseline,
339968,TEL-PPO,35.0,123,baseline,
344064,TEL-PPO,35.0,123,baseline,
348160,TEL-PPO,35.0,123,baseline,
352256,TEL-PPO,35.0,123,baseline,
356352,TEL-PPO,35.0,123,baseline,
360448,TEL-PPO,35.0,123,baseline,0.35796165466308594
364544,TEL-PPO,35.0,123,baseline,
368640,TEL-PPO,35.0,123,baseline,
372736,TEL-PPO,35.0,123,baseline,
376832,TEL-PPO,35.0,123,baseline,
380928,TEL-PPO,35.0,123,baseline,
385024,TEL-PPO,35.0,123,baseline,
389120,TEL-PPO,35.0,123,baseline,
393216,TEL-PPO,35.0,123,baseline,
397312,TEL-PPO,35.0,123,baseline,
401408,TEL-PPO,35.0,123,baseline,1.142871379852295
405504,TEL-PPO,35.0,123,baseline,
409600,TEL-PPO,35.0,123,baseline,
413696,TEL-PPO,35.0,123,baseline,
417792,TEL-PPO,35.0,123,baseline,
421888,TEL-PPO,35.0,123,baseline,
425984,TEL-PPO,35.0,123,baseline,
430080,TEL-PPO,35.0,123,baseline,
434176,TEL-PPO,35.0,123,baseline,
438272,TEL-PPO,35.0,123,baseline,
442368,TEL-PPO,35.0,123,baseline,0.16852617263793945
446464,TEL-PPO,35.0,123,baseline,
450560,TEL-PPO,35.0,123,baseline,
454656,TEL-PPO,35.0,123,baseline,
458752,TEL-PPO,35.0,123,baseline,
462848,TEL-PPO,35.0,123,baseline,
466944,TEL-PPO,35.0,123,baseline,
471040,TEL-PPO,35.0,123,baseline,
475136,TEL-PPO,35.0,123,baseline,
479232,TEL-PPO,35.0,123,baseline,
483328,TEL-PPO,35.0,123,baseline,0.6566822528839111
487424,TEL-PPO,35.0,123,baseline,
491520,TEL-PPO,35.0,123,baseline,
495616,TEL-PPO,35.0,123,baseline,
499712,TEL-PPO,35.0,123,baseline,
503808,TEL-PPO,35.0,123,baseline,
507904,TEL-PPO,35.0,123,baseline,
512000,TEL-PPO,35.0,123,baseline,
516096,TEL-PPO,35.0,123,baseline,
520192,TEL-PPO,35.0,123,baseline,
524288,TEL-PPO,35.0,123,baseline,0.7065773010253906
528384,TEL-PPO,35.0,123,baseline,
532480,TEL-PPO,35.0,123,baseline,
536576,TEL-PPO,35.0,123,baseline,
540672,TEL-PPO,35.0,123,baseline,
544768,TEL-PPO,35.0,123,baseline,
548864,TEL-PPO,35.0,123,baseline,
552960,TEL-PPO,35.0,123,baseline,
557056,TEL-PPO,35.0,123,baseline,
561152,TEL-PPO,35.0,123,baseline,
565248,TEL-PPO,35.0,123,baseline,0.1671314239501953
569344,TEL-PPO,35.0,123,baseline,
573440,TEL-PPO,35.0,123,baseline,
577536,TEL-PPO,35.0,123,baseline,
581632,TEL-PPO,35.0,123,baseline,
585728,TEL-PPO,35.0,123,baseline,
589824,TEL-PPO,35.0,123,baseline,
593920,TEL-PPO,35.0,123,baseline,
598016,TEL-PPO,35.0,123,baseline,
602112,TEL-PPO,35.0,123,baseline,
606208,TEL-PPO,35.0,123,baseline,0.6560862064361572
610304,TEL-PPO,35.0,123,baseline,
614400,TEL-PPO,35.0,123,baseline,
618496,TEL-PPO,35.0,123,baseline,
622592,TEL-PPO,35.0,123,baseline,
626688,TEL-PPO,35.0,123,baseline,
630784,TEL-PPO,35.0,123,baseline,
634880,TEL-PPO,35.0,123,baseline,
638976,TEL-PPO,35.0,123,baseline,
643072,TEL-PPO,35.0,123,baseline,
647168,TEL-PPO,35.0,123,baseline,1.8179893493652344
651264,TEL-PPO,35.0,123,baseline,
655360,TEL-PPO,35.0,123,baseline,
659456,TEL-PPO,35.0,123,baseline,
663552,TEL-PPO,35.0,123,baseline,
667648,TEL-PPO,35.0,123,baseline,
671744,TEL-PPO,35.0,123,baseline,
675840,TEL-PPO,35.0,123,baseline,
679936,TEL-PPO,35.0,123,baseline,
684032,TEL-PPO,35.0,123,baseline,
688128,TEL-PPO,35.0,123,baseline,0.40067434310913086
692224,TEL-PPO,35.0,123,baseline,
696320,TEL-PPO,35.0,123,baseline,
700416,TEL-PPO,35.0,123,baseline,
704512,TEL-PPO,35.0,123,baseline,
708608,TEL-PPO,35.0,123,baseline,
712704,TEL-PPO,35.0,123,baseline,
716800,TEL-PPO,35.0,123,baseline,
720896,TEL-PPO,35.0,123,baseline,
724992,TEL-PPO,35.0,123,baseline,
729088,TEL-PPO,35.0,123,baseline,0.039196014404296875
733184,TEL-PPO,35.0,123,baseline,
