step,method,q,seed,ablation,effort_mean,theoretical_effort
249856,TEL-PPO,25.0,50,baseline,87.035,87.5
253952,TEL-PPO,25.0,50,baseline,87.28,87.5
258048,TEL-PPO,25.0,50,baseline,87.35,87.5
262144,TEL-PPO,25.0,50,baseline,87.42500000000001,87.5
266240,TEL-PPO,25.0,50,baseline,87.41499999999999,87.5
270336,TEL-PPO,25.0,50,baseline,87.475,87.5
274432,TEL-PPO,25.0,50,baseline,87.515,87.5
278528,TEL-PPO,25.0,50,baseline,87.51,87.5
282624,TEL-PPO,25.0,50,baseline,87.655,87.5
286720,TEL-PPO,25.0,50,baseline,87.695,87.5
290816,TEL-PPO,25.0,50,baseline,87.42,87.5
294912,TEL-PPO,25.0,50,baseline,87.495,87.5
299008,TEL-PPO,25.0,50,baseline,87.775,87.5
303104,TEL-PPO,25.0,50,baseline,87.985,87.5
307200,TEL-PPO,25.0,50,baseline,87.965,87.5
311296,TEL-PPO,25.0,50,baseline,87.94999999999999,87.5
315392,TEL-PPO,25.0,50,baseline,87.84,87.5
319488,TEL-PPO,25.0,50,baseline,87.91,87.5
323584,TEL-PPO,25.0,50,baseline,87.695,87.5
327680,TEL-PPO,25.0,50,baseline,87.735,87.5
331776,TEL-PPO,25.0,50,baseline,87.83500000000001,87.5
335872,TEL-PPO,25.0,50,baseline,87.785,87.5
339968,TEL-PPO,25.0,50,baseline,87.78,87.5
344064,TEL-PPO,25.0,50,baseline,87.505,87.5
348160,TEL-PPO,25.0,50,baseline,87.58500000000001,87.5
352256,TEL-PPO,25.0,50,baseline,87.65,87.5
356352,TEL-PPO,25.0,50,baseline,87.655,87.5
360448,TEL-PPO,25.0,50,baseline,87.64,87.5
364544,TEL-PPO,25.0,50,baseline,87.61,87.5
368640,TEL-PPO,25.0,50,baseline,87.535,87.5
372736,TEL-PPO,25.0,50,baseline,87.215,87.5
376832,TEL-PPO,25.0,50,baseline,87.485,87.5
380928,TEL-PPO,25.0,50,baseline,87.34,87.5
385024,TEL-PPO,25.0,50,baseline,87.61500000000001,87.5
389120,TEL-PPO,25.0,50,baseline,87.555,87.5
393216,TEL-PPO,25.0,50,baseline,87.72,87.5
397312,TEL-PPO,25.0,50,baseline,88.03,87.5
401408,TEL-PPO,25.0,50,baseline,87.77000000000001,87.5
405504,TEL-PPO,25.0,50,baseline,87.94,87.5
409600,TEL-PPO,25.0,50,baseline,88.14,87.5
413696,TEL-PPO,25.0,50,baseline,87.995,87.5
417792,TEL-PPO,25.0,50,baseline,88.25999999999999,87.5
421888,TEL-PPO,25.0,50,baseline,88.13,87.5
425984,TEL-PPO,25.0,50,baseline,87.87,87.5
430080,TEL-PPO,25.0,50,baseline,87.59,87.5
434176,TEL-PPO,25.0,50,baseline,87.555,87.5
438272,TEL-PPO,25.0,50,baseline,87.605,87.5
442368,TEL-PPO,25.0,50,baseline,87.555,87.5
446464,TEL-PPO,25.0,50,baseline,87.39500000000001,87.5
450560,TEL-PPO,25.0,50,baseline,87.08500000000001,87.5
454656,TEL-PPO,25.0,50,baseline,86.91,87.5
458752,TEL-PPO,25.0,50,baseline,86.98,87.5
462848,TEL-PPO,25.0,50,baseline,87.22999999999999,87.5
466944,TEL-PPO,25.0,50,baseline,87.16,87.5
471040,TEL-PPO,25.0,50,baseline,86.91,87.5
475136,TEL-PPO,25.0,50,baseline,86.985,87.5
479232,TEL-PPO,25.0,50,baseline,87.065,87.5
483328,TEL-PPO,25.0,50,baseline,87.215,87.5
487424,TEL-PPO,25.0,50,baseline,87.32,87.5
491520,TEL-PPO,25.0,50,baseline,87.045,87.5
495616,TEL-PPO,25.0,50,baseline,86.815,87.5
499712,TEL-PPO,25.0,50,baseline,86.63499999999999,87.5
503808,TEL-PPO,25.0,50,baseline,86.82,87.5
507904,TEL-PPO,25.0,50,baseline,86.975,87.5
512000,TEL-PPO,25.0,50,baseline,87.15,87.5
516096,TEL-PPO,25.0,50,baseline,87.07,87.5
520192,TEL-PPO,25.0,50,baseline,87.205,87.5
524288,TEL-PPO,25.0,50,baseline,87.095,87.5
528384,TEL-PPO,25.0,50,baseline,87.095,87.5
532480,TEL-PPO,25.0,50,baseline,87.01,87.5
536576,TEL-PPO,25.0,50,baseline,86.955,87.5
540672,TEL-PPO,25.0,50,baseline,87.055,87.5
544768,TEL-PPO,25.0,50,baseline,87.32,87.5
548864,TEL-PPO,25.0,50,baseline,87.55,87.5
552960,TEL-PPO,25.0,50,baseline,87.35,87.5
557056,TEL-PPO,25.0,50,baseline,87.465,87.5
561152,TEL-PPO,25.0,50,baseline,87.75,87.5
565248,TEL-PPO,25.0,50,baseline,87.975,87.5
569344,TEL-PPO,25.0,50,baseline,87.845,87.5
0,TEL-PPO,25.0,1024,baseline_v2,101.89171930402523,87.5
0,TEL-PPO,25.0,1024,baseline_v2,101.89171930402523,87.5
0,TEL-PPO,25.0,1024,baseline_v2,101.89171930402523,87.5
4096,TEL-PPO,25.0,1024,baseline_v2,99.62989177647985,87.5
4096,TEL-PPO,25.0,1024,baseline_v2,99.62989177647985,87.5
4096,TEL-PPO,25.0,1024,baseline_v2,99.62989177647985,87.5
8192,TEL-PPO,25.0,1024,baseline_v2,97.20732145104566,87.5
8192,TEL-PPO,25.0,1024,baseline_v2,97.20732145104566,87.5
8192,TEL-PPO,25.0,1024,baseline_v2,97.20732145104566,87.5
12288,TEL-PPO,25.0,1024,baseline_v2,95.05392930004732,87.5
12288,TEL-PPO,25.0,1024,baseline_v2,95.05392930004732,87.5
12288,TEL-PPO,25.0,1024,baseline_v2,95.05392930004732,87.5
16384,TEL-PPO,25.0,1024,baseline_v2,92.67496831249436,87.5
16384,TEL-PPO,25.0,1024,baseline_v2,92.67496831249436,87.5
16384,TEL-PPO,25.0,1024,baseline_v2,92.67496831249436,87.5
20480,TEL-PPO,25.0,1024,baseline_v2,90.42611317988484,87.5
20480,TEL-PPO,25.0,1024,baseline_v2,90.42611317988484,87.5
20480,TEL-PPO,25.0,1024,baseline_v2,90.42611317988484,87.5
24576,TEL-PPO,25.0,1024,baseline_v2,88.35256862966351,87.5
24576,TEL-PPO,25.0,1024,baseline_v2,88.35256862966351,87.5
24576,TEL-PPO,25.0,1024,baseline_v2,88.35256862966351,87.5
28672,TEL-PPO,25.0,1024,baseline_v2,86.04383760876956,87.5
28672,TEL-PPO,25.0,1024,baseline_v2,86.04383760876956,87.5
28672,TEL-PPO,25.0,1024,baseline_v2,86.04383760876956,87.5
32768,TEL-PPO,25.0,1024,baseline_v2,84.30442002462227,87.5
32768,TEL-PPO,25.0,1024,baseline_v2,84.30442002462227,87.5
32768,TEL-PPO,25.0,1024,baseline_v2,84.30442002462227,87.5
36864,TEL-PPO,25.0,1024,baseline_v2,82.4375399556011,87.5
36864,TEL-PPO,25.0,1024,baseline_v2,82.4375399556011,87.5
36864,TEL-PPO,25.0,1024,baseline_v2,82.4375399556011,87.5
40960,TEL-PPO,25.0,1024,baseline_v2,80.60598970251169,87.5
40960,TEL-PPO,25.0,1024,baseline_v2,80.60598970251169,87.5
40960,TEL-PPO,25.0,1024,baseline_v2,80.60598970251169,87.5
45056,TEL-PPO,25.0,1024,baseline_v2,79.17623197985796,87.5
45056,TEL-PPO,25.0,1024,baseline_v2,79.17623197985796,87.5
45056,TEL-PPO,25.0,1024,baseline_v2,79.17623197985796,87.5
49152,TEL-PPO,25.0,1024,baseline_v2,77.63654218381276,87.5
49152,TEL-PPO,25.0,1024,baseline_v2,77.63654218381276,87.5
49152,TEL-PPO,25.0,1024,baseline_v2,77.63654218381276,87.5
53248,TEL-PPO,25.0,1024,baseline_v2,76.33877319050964,87.5
53248,TEL-PPO,25.0,1024,baseline_v2,76.33877319050964,87.5
53248,TEL-PPO,25.0,1024,baseline_v2,76.33877319050964,87.5
57344,TEL-PPO,25.0,1024,baseline_v2,75.20818962529306,87.5
57344,TEL-PPO,25.0,1024,baseline_v2,75.20818962529306,87.5
57344,TEL-PPO,25.0,1024,baseline_v2,75.20818962529306,87.5
61440,TEL-PPO,25.0,1024,baseline_v2,73.92086748406277,87.5
61440,TEL-PPO,25.0,1024,baseline_v2,73.92086748406277,87.5
61440,TEL-PPO,25.0,1024,baseline_v2,73.92086748406277,87.5
65536,TEL-PPO,25.0,1024,baseline_v2,72.8648041328415,87.5
65536,TEL-PPO,25.0,1024,baseline_v2,72.8648041328415,87.5
65536,TEL-PPO,25.0,1024,baseline_v2,72.8648041328415,87.5
69632,TEL-PPO,25.0,1024,baseline_v2,71.78953698417158,87.5
69632,TEL-PPO,25.0,1024,baseline_v2,71.78953698417158,87.5
69632,TEL-PPO,25.0,1024,baseline_v2,71.78953698417158,87.5
73728,TEL-PPO,25.0,1024,baseline_v2,70.56282922485836,87.5
73728,TEL-PPO,25.0,1024,baseline_v2,70.56282922485836,87.5
73728,TEL-PPO,25.0,1024,baseline_v2,70.56282922485836,87.5
77824,TEL-PPO,25.0,1024,baseline_v2,69.82318932563054,87.5
77824,TEL-PPO,25.0,1024,baseline_v2,69.82318932563054,87.5
77824,TEL-PPO,25.0,1024,baseline_v2,69.82318932563054,87.5
81920,TEL-PPO,25.0,1024,baseline_v2,68.98210369981825,87.5
81920,TEL-PPO,25.0,1024,baseline_v2,68.98210369981825,87.5
81920,TEL-PPO,25.0,1024,baseline_v2,68.98210369981825,87.5
86016,TEL-PPO,25.0,1024,baseline_v2,68.32652546605118,87.5
86016,TEL-PPO,25.0,1024,baseline_v2,68.32652546605118,87.5
86016,TEL-PPO,25.0,1024,baseline_v2,68.32652546605118,87.5
90112,TEL-PPO,25.0,1024,baseline_v2,68.06497133383519,87.5
90112,TEL-PPO,25.0,1024,baseline_v2,68.06497133383519,87.5
90112,TEL-PPO,25.0,1024,baseline_v2,68.06497133383519,87.5
94208,TEL-PPO,25.0,1024,baseline_v2,68.02037223754442,87.5
94208,TEL-PPO,25.0,1024,baseline_v2,68.02037223754442,87.5
94208,TEL-PPO,25.0,1024,baseline_v2,68.02037223754442,87.5
98304,TEL-PPO,25.0,1024,baseline_v2,68.16753730177882,87.5
98304,TEL-PPO,25.0,1024,baseline_v2,68.16753730177882,87.5
98304,TEL-PPO,25.0,1024,baseline_v2,68.16753730177882,87.5
102400,TEL-PPO,25.0,1024,baseline_v2,68.10511369025345,87.5
102400,TEL-PPO,25.0,1024,baseline_v2,68.10511369025345,87.5
102400,TEL-PPO,25.0,1024,baseline_v2,68.10511369025345,87.5
106496,TEL-PPO,25.0,1024,baseline_v2,67.9047560715116,87.5
106496,TEL-PPO,25.0,1024,baseline_v2,67.9047560715116,87.5
106496,TEL-PPO,25.0,1024,baseline_v2,67.9047560715116,87.5
110592,TEL-PPO,25.0,1024,baseline_v2,68.12284099636608,87.5
110592,TEL-PPO,25.0,1024,baseline_v2,68.12284099636608,87.5
110592,TEL-PPO,25.0,1024,baseline_v2,68.12284099636608,87.5
114688,TEL-PPO,25.0,1024,baseline_v2,68.00198579346772,87.5
114688,TEL-PPO,25.0,1024,baseline_v2,68.00198579346772,87.5
114688,TEL-PPO,25.0,1024,baseline_v2,68.00198579346772,87.5
118784,TEL-PPO,25.0,1024,baseline_v2,67.8894376386888,87.5
118784,TEL-PPO,25.0,1024,baseline_v2,67.8894376386888,87.5
118784,TEL-PPO,25.0,1024,baseline_v2,67.8894376386888,87.5
122880,TEL-PPO,25.0,1024,baseline_v2,67.99960818560778,87.5
122880,TEL-PPO,25.0,1024,baseline_v2,67.99960818560778,87.5
122880,TEL-PPO,25.0,1024,baseline_v2,67.99960818560778,87.5
126976,TEL-PPO,25.0,1024,baseline_v2,67.93263107398514,87.5
126976,TEL-PPO,25.0,1024,baseline_v2,67.93263107398514,87.5
126976,TEL-PPO,25.0,1024,baseline_v2,67.93263107398514,87.5
131072,TEL-PPO,25.0,1024,baseline_v2,67.83419791143398,87.5
131072,TEL-PPO,25.0,1024,baseline_v2,67.83419791143398,87.5
131072,TEL-PPO,25.0,1024,baseline_v2,67.83419791143398,87.5
135168,TEL-PPO,25.0,1024,baseline_v2,67.71415785048177,87.5
135168,TEL-PPO,25.0,1024,baseline_v2,67.71415785048177,87.5
135168,TEL-PPO,25.0,1024,baseline_v2,67.71415785048177,87.5
139264,TEL-PPO,25.0,1024,baseline_v2,67.56552119599655,87.5
139264,TEL-PPO,25.0,1024,baseline_v2,67.56552119599655,87.5
139264,TEL-PPO,25.0,1024,baseline_v2,67.56552119599655,87.5
143360,TEL-PPO,25.0,1024,baseline_v2,67.34982250630867,87.5
143360,TEL-PPO,25.0,1024,baseline_v2,67.34982250630867,87.5
143360,TEL-PPO,25.0,1024,baseline_v2,67.34982250630867,87.5
147456,TEL-PPO,25.0,1024,baseline_v2,67.53965873923147,87.5
147456,TEL-PPO,25.0,1024,baseline_v2,67.53965873923147,87.5
147456,TEL-PPO,25.0,1024,baseline_v2,67.53965873923147,87.5
151552,TEL-PPO,25.0,1024,baseline_v2,67.17631711252034,87.5
151552,TEL-PPO,25.0,1024,baseline_v2,67.17631711252034,87.5
151552,TEL-PPO,25.0,1024,baseline_v2,67.17631711252034,87.5
155648,TEL-PPO,25.0,1024,baseline_v2,67.16023549251273,87.5
155648,TEL-PPO,25.0,1024,baseline_v2,67.16023549251273,87.5
155648,TEL-PPO,25.0,1024,baseline_v2,67.16023549251273,87.5
159744,TEL-PPO,25.0,1024,baseline_v2,67.15824451530375,87.5
159744,TEL-PPO,25.0,1024,baseline_v2,67.15824451530375,87.5
159744,TEL-PPO,25.0,1024,baseline_v2,67.15824451530375,87.5
163840,TEL-PPO,25.0,1024,baseline_v2,67.48605631617829,87.5
163840,TEL-PPO,25.0,1024,baseline_v2,67.48605631617829,87.5
163840,TEL-PPO,25.0,1024,baseline_v2,67.48605631617829,87.5
167936,TEL-PPO,25.0,1024,baseline_v2,67.4190809531137,87.5
167936,TEL-PPO,25.0,1024,baseline_v2,67.4190809531137,87.5
167936,TEL-PPO,25.0,1024,baseline_v2,67.4190809531137,87.5
172032,TEL-PPO,25.0,1024,baseline_v2,67.37924455152826,87.5
172032,TEL-PPO,25.0,1024,baseline_v2,67.37924455152826,87.5
172032,TEL-PPO,25.0,1024,baseline_v2,67.37924455152826,87.5
176128,TEL-PPO,25.0,1024,baseline_v2,67.33231477579099,87.5
176128,TEL-PPO,25.0,1024,baseline_v2,67.33231477579099,87.5
176128,TEL-PPO,25.0,1024,baseline_v2,67.33231477579099,87.5
180224,TEL-PPO,25.0,1024,baseline_v2,67.31094944337377,87.5
180224,TEL-PPO,25.0,1024,baseline_v2,67.31094944337377,87.5
180224,TEL-PPO,25.0,1024,baseline_v2,67.31094944337377,87.5
184320,TEL-PPO,25.0,1024,baseline_v2,67.64109713118523,87.5
184320,TEL-PPO,25.0,1024,baseline_v2,67.64109713118523,87.5
184320,TEL-PPO,25.0,1024,baseline_v2,67.64109713118523,87.5
188416,TEL-PPO,25.0,1024,baseline_v2,67.34600172797201,87.5
188416,TEL-PPO,25.0,1024,baseline_v2,67.34600172797201,87.5
188416,TEL-PPO,25.0,1024,baseline_v2,67.34600172797201,87.5
192512,TEL-PPO,25.0,1024,baseline_v2,67.35421805735666,87.5
192512,TEL-PPO,25.0,1024,baseline_v2,67.35421805735666,87.5
192512,TEL-PPO,25.0,1024,baseline_v2,67.35421805735666,87.5
196608,TEL-PPO,25.0,1024,baseline_v2,67.33354842336865,87.5
196608,TEL-PPO,25.0,1024,baseline_v2,67.33354842336865,87.5
196608,TEL-PPO,25.0,1024,baseline_v2,67.33354842336865,87.5
200704,TEL-PPO,25.0,1024,baseline_v2,67.2677676132879,87.5
200704,TEL-PPO,25.0,1024,baseline_v2,67.2677676132879,87.5
200704,TEL-PPO,25.0,1024,baseline_v2,67.2677676132879,87.5
204800,TEL-PPO,25.0,1024,baseline_v2,67.31517922692008,87.5
204800,TEL-PPO,25.0,1024,baseline_v2,67.31517922692008,87.5
204800,TEL-PPO,25.0,1024,baseline_v2,67.31517922692008,87.5
208896,TEL-PPO,25.0,1024,baseline_v2,67.25906095793496,87.5
208896,TEL-PPO,25.0,1024,baseline_v2,67.25906095793496,87.5
208896,TEL-PPO,25.0,1024,baseline_v2,67.25906095793496,87.5
212992,TEL-PPO,25.0,1024,baseline_v2,67.3709298116153,87.5
212992,TEL-PPO,25.0,1024,baseline_v2,67.3709298116153,87.5
212992,TEL-PPO,25.0,1024,baseline_v2,67.3709298116153,87.5
217088,TEL-PPO,25.0,1024,baseline_v2,67.44467983534551,87.5
217088,TEL-PPO,25.0,1024,baseline_v2,67.44467983534551,87.5
217088,TEL-PPO,25.0,1024,baseline_v2,67.44467983534551,87.5
221184,TEL-PPO,25.0,1024,baseline_v2,67.37850208207954,87.5
221184,TEL-PPO,25.0,1024,baseline_v2,67.37850208207954,87.5
221184,TEL-PPO,25.0,1024,baseline_v2,67.37850208207954,87.5
225280,TEL-PPO,25.0,1024,baseline_v2,67.4279149663636,87.5
225280,TEL-PPO,25.0,1024,baseline_v2,67.4279149663636,87.5
225280,TEL-PPO,25.0,1024,baseline_v2,67.4279149663636,87.5
229376,TEL-PPO,25.0,1024,baseline_v2,67.40022570313872,87.5
229376,TEL-PPO,25.0,1024,baseline_v2,67.40022570313872,87.5
229376,TEL-PPO,25.0,1024,baseline_v2,67.40022570313872,87.5
233472,TEL-PPO,25.0,1024,baseline_v2,67.45093737309818,87.5
233472,TEL-PPO,25.0,1024,baseline_v2,67.45093737309818,87.5
233472,TEL-PPO,25.0,1024,baseline_v2,67.45093737309818,87.5
237568,TEL-PPO,25.0,1024,baseline_v2,67.53227817686286,87.5
237568,TEL-PPO,25.0,1024,baseline_v2,67.53227817686286,87.5
237568,TEL-PPO,25.0,1024,baseline_v2,67.53227817686286,87.5
241664,TEL-PPO,25.0,1024,baseline_v2,67.87331579485918,87.5
241664,TEL-PPO,25.0,1024,baseline_v2,67.87331579485918,87.5
241664,TEL-PPO,25.0,1024,baseline_v2,67.87331579485918,87.5
245760,TEL-PPO,25.0,1024,baseline_v2,67.81705410918224,87.5
245760,TEL-PPO,25.0,1024,baseline_v2,67.81705410918224,87.5
245760,TEL-PPO,25.0,1024,baseline_v2,67.81705410918224,87.5
249856,TEL-PPO,25.0,1024,baseline_v2,67.74871698999806,87.5
249856,TEL-PPO,25.0,1024,baseline_v2,67.74871698999806,87.5
249856,TEL-PPO,25.0,1024,baseline_v2,67.74871698999806,87.5
253952,TEL-PPO,25.0,1024,baseline_v2,67.77685332763951,87.5
253952,TEL-PPO,25.0,1024,baseline_v2,67.77685332763951,87.5
253952,TEL-PPO,25.0,1024,baseline_v2,67.77685332763951,87.5
258048,TEL-PPO,25.0,1024,baseline_v2,67.73110532341525,87.5
258048,TEL-PPO,25.0,1024,baseline_v2,67.73110532341525,87.5
258048,TEL-PPO,25.0,1024,baseline_v2,67.73110532341525,87.5
262144,TEL-PPO,25.0,1024,baseline_v2,67.68465626519163,87.5
262144,TEL-PPO,25.0,1024,baseline_v2,67.68465626519163,87.5
262144,TEL-PPO,25.0,1024,baseline_v2,67.68465626519163,87.5
266240,TEL-PPO,25.0,1024,baseline_v2,67.42744717746959,87.5
266240,TEL-PPO,25.0,1024,baseline_v2,67.42744717746959,87.5
266240,TEL-PPO,25.0,1024,baseline_v2,67.42744717746959,87.5
270336,TEL-PPO,25.0,1024,baseline_v2,67.4533373150042,87.5
270336,TEL-PPO,25.0,1024,baseline_v2,67.4533373150042,87.5
270336,TEL-PPO,25.0,1024,baseline_v2,67.4533373150042,87.5
274432,TEL-PPO,25.0,1024,baseline_v2,67.56622585840532,87.5
274432,TEL-PPO,25.0,1024,baseline_v2,67.56622585840532,87.5
274432,TEL-PPO,25.0,1024,baseline_v2,67.56622585840532,87.5
278528,TEL-PPO,25.0,1024,baseline_v2,67.32105040084556,87.5
278528,TEL-PPO,25.0,1024,baseline_v2,67.32105040084556,87.5
278528,TEL-PPO,25.0,1024,baseline_v2,67.32105040084556,87.5
282624,TEL-PPO,25.0,1024,baseline_v2,67.31465607322755,87.5
282624,TEL-PPO,25.0,1024,baseline_v2,67.31465607322755,87.5
282624,TEL-PPO,25.0,1024,baseline_v2,67.31465607322755,87.5
286720,TEL-PPO,25.0,1024,baseline_v2,67.44969964306793,87.5
286720,TEL-PPO,25.0,1024,baseline_v2,67.44969964306793,87.5
286720,TEL-PPO,25.0,1024,baseline_v2,67.44969964306793,87.5
290816,TEL-PPO,25.0,1024,baseline_v2,67.27616612985736,87.5
290816,TEL-PPO,25.0,1024,baseline_v2,67.27616612985736,87.5
290816,TEL-PPO,25.0,1024,baseline_v2,67.27616612985736,87.5
294912,TEL-PPO,25.0,1024,baseline_v2,67.29115507984534,87.5
294912,TEL-PPO,25.0,1024,baseline_v2,67.29115507984534,87.5
294912,TEL-PPO,25.0,1024,baseline_v2,67.29115507984534,87.5
299008,TEL-PPO,25.0,1024,baseline_v2,67.0762841929683,87.5
299008,TEL-PPO,25.0,1024,baseline_v2,67.0762841929683,87.5
299008,TEL-PPO,25.0,1024,baseline_v2,67.0762841929683,87.5
303104,TEL-PPO,25.0,1024,baseline_v2,67.11273835413155,87.5
303104,TEL-PPO,25.0,1024,baseline_v2,67.11273835413155,87.5
303104,TEL-PPO,25.0,1024,baseline_v2,67.11273835413155,87.5
307200,TEL-PPO,25.0,1024,baseline_v2,66.98544959304851,87.5
307200,TEL-PPO,25.0,1024,baseline_v2,66.98544959304851,87.5
307200,TEL-PPO,25.0,1024,baseline_v2,66.98544959304851,87.5
311296,TEL-PPO,25.0,1024,baseline_v2,66.74960017623388,87.5
311296,TEL-PPO,25.0,1024,baseline_v2,66.74960017623388,87.5
311296,TEL-PPO,25.0,1024,baseline_v2,66.74960017623388,87.5
315392,TEL-PPO,25.0,1024,baseline_v2,66.50989871798083,87.5
315392,TEL-PPO,25.0,1024,baseline_v2,66.50989871798083,87.5
315392,TEL-PPO,25.0,1024,baseline_v2,66.50989871798083,87.5
319488,TEL-PPO,25.0,1024,baseline_v2,66.2781338770874,87.5
319488,TEL-PPO,25.0,1024,baseline_v2,66.2781338770874,87.5
319488,TEL-PPO,25.0,1024,baseline_v2,66.2781338770874,87.5
323584,TEL-PPO,25.0,1024,baseline_v2,66.49826250830674,87.5
323584,TEL-PPO,25.0,1024,baseline_v2,66.49826250830674,87.5
323584,TEL-PPO,25.0,1024,baseline_v2,66.49826250830674,87.5
327680,TEL-PPO,25.0,1024,baseline_v2,66.1393806841225,87.5
327680,TEL-PPO,25.0,1024,baseline_v2,66.1393806841225,87.5
327680,TEL-PPO,25.0,1024,baseline_v2,66.1393806841225,87.5
331776,TEL-PPO,25.0,1024,baseline_v2,66.07567784329893,87.5
331776,TEL-PPO,25.0,1024,baseline_v2,66.07567784329893,87.5
331776,TEL-PPO,25.0,1024,baseline_v2,66.07567784329893,87.5
335872,TEL-PPO,25.0,1024,baseline_v2,65.83457510732103,87.5
335872,TEL-PPO,25.0,1024,baseline_v2,65.83457510732103,87.5
335872,TEL-PPO,25.0,1024,baseline_v2,65.83457510732103,87.5
339968,TEL-PPO,25.0,1024,baseline_v2,65.81718462053689,87.5
339968,TEL-PPO,25.0,1024,baseline_v2,65.81718462053689,87.5
339968,TEL-PPO,25.0,1024,baseline_v2,65.81718462053689,87.5
344064,TEL-PPO,25.0,1024,baseline_v2,65.78936237189926,87.5
344064,TEL-PPO,25.0,1024,baseline_v2,65.78936237189926,87.5
344064,TEL-PPO,25.0,1024,baseline_v2,65.78936237189926,87.5
348160,TEL-PPO,25.0,1024,baseline_v2,65.80364912422365,87.5
348160,TEL-PPO,25.0,1024,baseline_v2,65.80364912422365,87.5
348160,TEL-PPO,25.0,1024,baseline_v2,65.80364912422365,87.5
352256,TEL-PPO,25.0,1024,baseline_v2,66.02868730248892,87.5
352256,TEL-PPO,25.0,1024,baseline_v2,66.02868730248892,87.5
352256,TEL-PPO,25.0,1024,baseline_v2,66.02868730248892,87.5
356352,TEL-PPO,25.0,1024,baseline_v2,66.35113762132823,87.5
356352,TEL-PPO,25.0,1024,baseline_v2,66.35113762132823,87.5
356352,TEL-PPO,25.0,1024,baseline_v2,66.35113762132823,87.5
