q,k,l1,l2,w_h,w_l,seed,theoretical_effort,final_effort,gap,p1_win,method,episodes,converged
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,41.229185461997986,10.040345788002014,0.560546875,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,47.13343381881714,4.136097431182861,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,48.87956380844116,2.389967441558838,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,49.17062520980835,2.0989060401916504,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,45.89330554008484,5.376225709915161,0.560546875,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,35.6198787689209,2.344997264136957,0.5444214876033058,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,44.3547785282135,6.914752721786499,0.560546875,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,32.156652212142944,5.808223820914911,0.5444214876033058,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,48.708370327949524,2.561160922050476,0.560546875,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,34.03472304344177,3.930152989616083,0.5444214876033058,ppo,2048000,False
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,49.135711789131165,2.1338194608688354,0.560546875,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,46.20572328567505,5.063807964324951,0.560546875,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,33.50367844104767,4.461197592010187,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,35.02313494682312,2.9417410862347353,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,35.97264289855957,1.992233134498285,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,32.52524435520172,5.439631677856134,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,35.23368537425995,2.7311906587979067,0.5444214876033058,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,50.0140905380249,1.2554407119750977,0.560546875,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,32.889172434806824,5.075703598251032,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,33.07673931121826,4.888136721839594,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,33.71023237705231,4.254643656005548,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,35.83187758922577,2.1329984438320864,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,35.75783371925354,2.2070423138043154,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,36.69423758983612,1.2706384432217348,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,33.77756178379059,4.187314249267267,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,31.700628995895386,6.26424703716247,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,35.78934967517853,2.1755263578793276,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,34.097784757614136,3.8670912754437197,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,36.58507168292999,1.3798043501278627,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,36.06424033641815,1.9006356966397036,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,37.811630964279175,0.1532450687786806,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,33.47433805465698,4.490537978400873,0.5444214876033058,ppo,2048000,False
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,37.76024878025055,0.2046272528073061,0.5444214876033058,ppo,2048000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,36.333298683166504,1.6315773498913515,0.5444214876033058,ppo,2048000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,48.366180062294006,2.9033511877059937,0.560546875,ppo,2048000,True
25.0,0.0004,10.0,5.0,6.5,3.0,1024,78.75,74.13973808288574,4.610261917114258,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,1024,51.26953125,49.484533071517944,1.7849981784820557,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,1024,37.964876033057855,37.159523367881775,0.8053526651760805,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,789,78.75,74.9367892742157,3.8132107257843018,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,789,51.26953125,51.46457552909851,0.19504427909851074,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,789,37.964876033057855,37.82129883766174,0.14357719539611224,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,456,78.75,73.86733293533325,4.882667064666748,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,456,51.26953125,49.58233833312988,1.6871929168701172,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,456,37.964876033057855,37.18409240245819,0.7807836305996645,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,42,78.75,74.39446449279785,4.355535507202148,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,42,51.26953125,48.631420731544495,2.6381105184555054,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,42,37.964876033057855,37.011247873306274,0.953628159751581,0.5444214876033058,ppo,6144000,True
25.0,0.0004,10.0,5.0,6.5,3.0,123,78.75,73.5897958278656,5.160204172134399,0.595,ppo,6144000,True
40.0,0.0004,10.0,5.0,6.5,3.0,123,51.26953125,49.434858560562134,1.8346726894378662,0.560546875,ppo,6144000,True
55.0,0.0004,10.0,5.0,6.5,3.0,123,37.964876033057855,37.196603417396545,0.76827261566131,0.5444214876033058,ppo,6144000,True
